phase,class,coverage,N,sessions,safe_rate,MAE,P90,direction_N,direction_accuracy,jeffreys_low,jeffreys_high,session_macro_safe,absolute_error_ms,deadband_ms
preholdout,PROVISIONAL,0.338842975207,123,16,0.756097560976,0.16976186663,0.383231997831,32,0.5625,0.674859961916,0.825446244021,0.758574657869,0.25,0.2
preholdout,WAIT,0.633608815427,230,14,0.517391304348,0.381166159784,0.862992033511,130,0.646153846154,0.452932858868,0.581415109959,0.574541318757,0.25,0.2
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,8,0.875,0.49722550356,0.955940586447,0.714285714286,0.3,0.08
preholdout,PROVISIONAL,0.338842975207,123,16,0.691056910569,0.16976186663,0.383231997831,74,0.621621621622,0.605686938625,0.767554871539,0.681761887306,0.3,0.08
preholdout,WAIT,0.633608815427,230,14,0.513043478261,0.381166159784,0.862992033511,170,0.617647058824,0.448622439182,0.577138537297,0.574454578375,0.3,0.08
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,6,0.833333333333,0.49722550356,0.955940586447,0.714285714286,0.3,0.1
preholdout,PROVISIONAL,0.338842975207,123,16,0.707317073171,0.16976186663,0.383231997831,65,0.6,0.622791653744,0.782215955953,0.704678553973,0.3,0.1
preholdout,WAIT,0.633608815427,230,14,0.521739130435,0.381166159784,0.862992033511,165,0.618181818182,0.457248120478,0.58568684086,0.585443589364,0.3,0.1
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,4,1,0.618685228933,0.988988326237,0.857142857143,0.3,0.12
preholdout,PROVISIONAL,0.338842975207,123,16,0.731707317073,0.16976186663,0.383231997831,57,0.614035087719,0.648678042148,0.803978604278,0.731464268259,0.3,0.12
preholdout,WAIT,0.633608815427,230,14,0.530434782609,0.381166159784,0.862992033511,159,0.616352201258,0.465893190352,0.594215756656,0.586478786052,0.3,0.12
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,2,1,0.618685228933,0.988988326237,0.857142857143,0.3,0.15
preholdout,PROVISIONAL,0.338842975207,123,16,0.764227642276,0.16976186663,0.383231997831,49,0.632653061224,0.683657702002,0.832531836405,0.766387157869,0.3,0.15
preholdout,WAIT,0.633608815427,230,14,0.560869565217,0.381166159784,0.862992033511,142,0.62676056338,0.496304546205,0.623913361913,0.599025568979,0.3,0.15
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,2,1,0.618685228933,0.988988326237,0.857142857143,0.3,0.2
preholdout,PROVISIONAL,0.338842975207,123,16,0.788617886179,0.16976186663,0.383231997831,32,0.5625,0.710279930441,0.853560166173,0.795032991202,0.3,0.2
preholdout,WAIT,0.633608815427,230,14,0.582608695652,0.381166159784,0.862992033511,130,0.646153846154,0.518175007745,0.644977889558,0.645221221153,0.3,0.2
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,8,0.875,0.49722550356,0.955940586447,0.714285714286,0.35,0.08
preholdout,PROVISIONAL,0.338842975207,123,16,0.715447154472,0.16976186663,0.383231997831,74,0.621621621622,0.631389111141,0.789501461576,0.731193705488,0.35,0.08
preholdout,WAIT,0.633608815427,230,14,0.547826086957,0.381166159784,0.862992033511,170,0.617647058824,0.483241725289,0.611215196834,0.586014274718,0.35,0.08
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,6,0.833333333333,0.49722550356,0.955940586447,0.714285714286,0.35,0.1
preholdout,PROVISIONAL,0.338842975207,123,16,0.731707317073,0.16976186663,0.383231997831,65,0.6,0.648678042148,0.803978604278,0.754110372155,0.35,0.1
preholdout,WAIT,0.633608815427,230,14,0.55652173913,0.381166159784,0.862992033511,165,0.618181818182,0.491945350265,0.619685561988,0.597003285707,0.35,0.1
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,4,1,0.618685228933,0.988988326237,0.857142857143,0.35,0.12
preholdout,PROVISIONAL,0.338842975207,123,16,0.764227642276,0.16976186663,0.383231997831,57,0.614035087719,0.683657702002,0.832531836405,0.782912215473,0.35,0.12
preholdout,WAIT,0.633608815427,230,14,0.565217391304,0.381166159784,0.862992033511,159,0.616352201258,0.50066868439,0.628136220186,0.598038482394,0.35,0.12
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,2,1,0.618685228933,0.988988326237,0.857142857143,0.35,0.15
preholdout,PROVISIONAL,0.338842975207,123,16,0.79674796748,0.16976186663,0.383231997831,49,0.632653061224,0.719235391392,0.860488450009,0.817835105083,0.35,0.15
preholdout,WAIT,0.633608815427,230,14,0.595652173913,0.381166159784,0.862992033511,142,0.62676056338,0.531357576998,0.657556323507,0.610585265321,0.35,0.15
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,2,1,0.618685228933,0.988988326237,0.857142857143,0.35,0.2
preholdout,PROVISIONAL,0.338842975207,123,16,0.829268292683,0.16976186663,0.383231997831,32,0.5625,0.755514664952,0.887745719909,0.852162756598,0.35,0.2
preholdout,WAIT,0.633608815427,230,14,0.621739130435,0.381166159784,0.862992033511,130,0.646153846154,0.557861481198,0.682574454492,0.666984999128,0.35,0.2
