session,rb,mb,rpm,map,actual,frames,visits,S,residual,first_ts,distance,sources,sign,spread,maturity,nearest_scaled_distance,n_sources,positive,negative,sign_posterior,mad_ms,predicted_residual,support_cells,S_carry,predicted,error,abs_error,true_residual,score,class
session_2026-08-09_19-44-38_2e14d32b,8,11,877,0.286,2.98496,8,2,1.0249290281,-0.150692456754,1.78631818318e+12,0.986198555955,1,0.932939343137,0.783886385584,1,0.166718741865,15,4,11,0.966469671568,0.0608727963699,-0.0426918758064,79,1.06855442506,3.2264274644,0.241467464398,0.241467464398,-0.284159340205,0.912664294556,TRUST
session_2026-08-09_19-44-38_2e14d32b,8,12,880,0.305,3.38944,1,1,1.0249290281,0.0612451991536,1.78631818264e+12,0.999783009657,1,0.932939343137,0.8111222056,1,0.0208333333333,15,4,11,0.966469671568,0.0523341377846,-0.0504888361375,90,1.06855442506,3.4193682802,0.0299282801962,0.0299282801962,-0.0804171163338,0.923417027689,TRUST
session_2026-08-09_19-44-38_2e14d32b,8,13,848,0.345,3.71712,9,3,1.0249290281,0.0186328603678,1.78631702934e+12,0.994149127855,1,0.202610302068,0.674849507614,1,0.108333333333,15,7,8,0.601305151034,0.0983163911626,-0.0295116050852,109,1.06855442506,3.82639908796,0.10927908796,0.10927908796,-0.138790693045,0.565901972622,WAIT
session_2026-08-09_19-44-38_2e14d32b,8,14,869,0.374,3.968,50,8,1.0249290281,-0.0585096541417,1.7863170281e+12,0.999965278381,1,0.202610302068,0.654265345015,1,0.00833333333333,15,7,8,0.601305151034,0.106060570872,-0.0154779065937,113,1.06855442506,4.18241735298,0.21441735298,0.21441735298,-0.229895259574,0.561383185348,WAIT
session_2026-08-09_19-44-38_2e14d32b,8,15,867,0.394,4.15744,47,14,1.0249290281,-0.0725587572156,1.78631685839e+12,1,1,0.202610302068,0.6723220744,1,0,15,7,8,0.601305151034,0.0992544439736,-0.0299523028309,119,1.06855442506,4.3800934331,0.222653433096,0.222653433096,-0.252605735927,0.565769699044,WAIT
session_2026-08-09_19-44-38_2e14d32b,8,16,868,0.413,4.42112,424,37,1.0249290281,-0.0073524771327,1.78631681889e+12,0.999991319482,1,0.80479571998,0.741794082306,1,0.00416666666667,15,5,10,0.90239785999,0.0746708978592,-0.0132965328454,120,1.06855442506,4.60367081995,0.182550819955,0.182550819955,-0.1958473528,0.862959890705,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,8,17,871,0.433,4.66816,76,19,1.0249290281,0.0254161115798,1.78631681752e+12,1,1,0.932939343137,0.679458388977,1,0,15,4,11,0.966469671568,0.0966148212437,-0.0280192133934,119,1.06855442506,4.81233986548,0.144179865484,0.144179865484,-0.172199078878,0.877876090528,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,8,18,880,0.462,4.9088,26,11,1.0249290281,-0.0599860260714,1.78631681629e+12,1,1,0.80479571998,0.597302108385,1,0,15,5,10,0.90239785999,0.128833062348,-0.0656489178964,118,1.06855442506,5.11463005728,0.205830057276,0.205830057276,-0.271478975173,0.81116366238,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,8,19,881,0.492,5.3376,11,5,1.0249290281,0.0375689741285,1.78631688797e+12,0.999965278381,1,0.932939343137,0.585209905962,1,0.00833333333333,15,4,11,0.966469671568,0.133946170625,-0.126365017777,115,1.06855442506,5.39925817208,0.0616581720777,0.0616581720777,-0.188023189855,0.841205596754,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,8,20,880,0.511,5.42592,14,4,1.0249290281,-0.0868751697862,1.78631688768e+12,0.999861120756,1,0.932939343137,0.456570286981,1,0.0166666666667,15,4,11,0.966469671568,0.196003155377,-0.132291430769,114,1.06855442506,5.61515206199,0.189232061994,0.189232061994,-0.321523492763,0.783600205141,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,8,22,896,0.57,6.3616,1,1,1.0249290281,0.0857734266538,1.78631693518e+12,0.988813044611,1,0.89449625619,0.379919433424,0.928571428571,0.15,14,4,10,0.947248128095,0.241949016512,-0.12866220989,73,1.06855442506,6.41429059169,0.0526905916898,0.0526905916898,-0.18135280158,0.725740514041,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,8,23,884,0.6,6.28736,2,1,1.0249290281,-0.357757639508,1.78631693419e+12,0.951758032114,1,0.836831625769,0.251802878446,0.769230769231,0.314466037735,13,4,9,0.918415812885,0.34477718149,-0.0762500909637,55,1.06855442506,6.85171239623,0.564352396225,0.564352396225,-0.640602487189,0.612951089378,WAIT
session_2026-08-09_19-44-38_2e14d32b,9,18,905,0.462,4.73856,1,1,1.0249290281,-0.273366774156,1.78631689694e+12,0.998048781107,1,0.560157893953,0.405503648955,1,0.0625,15,6,9,0.780078946977,0.225656351703,-0.114942533003,119,1.06855442506,5.11031344643,0.371753446432,0.371753446432,-0.486695979435,0.654584973995,WAIT
session_2026-08-09_19-44-38_2e14d32b,11,13,1166,0.335,3.63776,1,1,1.0249290281,0.0256160329654,1.78631695208e+12,0.981688821942,1,0.560157893953,0.700095170512,1,0.192254533251,15,6,9,0.780078946977,0.0891347488265,-0.0347201700632,107,1.06855442506,3.73117221281,0.0934122128135,0.0934122128135,-0.128132382877,0.763310569035,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,11,14,1153,0.354,3.7888,2,1,1.0249290281,-0.0236318407971,1.78631695236e+12,0.987955072392,1,0.80479571998,0.571861848973,1,0.155679514102,15,5,10,0.90239785999,0.139714459887,-0.0573908564835,118,1.06855442506,3.91731451532,0.128514515318,0.128514515318,-0.185905371802,0.799752898628,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,12,27,1256,0.688,8.53504,1,1,1.0249290281,0.703895527442,1.78631689185e+12,0.945294574934,1,0,0.129761152333,0.5625,0.335436076043,4,2,2,0.5,0.51051495204,0.0154249959234,41,1.06855442506,8.17989673004,-0.355143269961,0.355143269961,0.370568265884,2.64065276528e-05,WAIT
session_2026-08-09_19-44-38_2e14d32b,15,29,1569,0.727,6.1312,1,1,1.0249290281,-1.39747936958,1.78631697147e+12,0.950692857899,0.75,0.424413181578,0.194022744733,0.666666666667,0.318007031718,3,1,2,0.712206590789,0.409944971475,-0.48361044182,50,1.06855442506,7.36552197089,1.23432197089,1.23432197089,-1.71793241271,0.440597362516,WAIT
session_2026-08-09_19-44-38_2e14d32b,15,32,1565,0.815,8.89088,3,1,1.0249290281,-0.625674626827,1.78631700758e+12,0.864294238885,1,0.679061090525,0.164905253255,0.5625,0.540077797894,4,1,3,0.839530545263,0.450596048176,-0.301441102526,39,1.06855442506,9.62017910627,0.729299106266,0.729299106266,-1.03074020879,0.482593586153,WAIT
session_2026-08-09_19-44-38_2e14d32b,18,28,1854,0.707,6.35392,1,1,1.0249290281,-0.205470635089,1.7863169584e+12,0.945138679831,1,0.582052363308,0.216294268215,0.583333333333,0.335927406179,6,2,4,0.791026181654,0.382778861403,-0.239783034529,70,1.06855442506,6.59880353744,0.244883537444,0.244883537444,-0.484666571973,0.508063582994,WAIT
session_2026-08-09_19-44-38_2e14d32b,19,27,1951,0.678,5.81376,1,1,1.0249290281,-0.211569312132,1.78631817624e+12,0.977479677346,1,0.291026181654,0.400566006142,0.571428571429,0.213437474581,7,3,4,0.645513090827,0.228719179178,-0.0762476888494,72,1.06855442506,6.20554560842,0.391785608417,0.391785608417,-0.468033297267,0.497947024545,WAIT
session_2026-08-09_19-44-38_2e14d32b,27,18,2794,0.472,3.93472,1,1,1.0249290281,-0.39866195276,1.78631807323e+12,0.716431799247,0.75,0.424413181578,0.600978151922,0.75,0.816666666667,3,1,2,0.712206590789,0.127299174496,-0.0758703649893,23,1.06855442506,4.44195900087,0.507239000874,0.507239000874,-0.583109365863,0.594407991266,WAIT
session_2026-08-09_19-44-38_2e14d32b,27,19,2774,0.482,4.14976,5,1,1.0249290281,-0.237066618494,1.78631807186e+12,0.657777277572,1,0.679061090525,0.318714603318,0.625,0.915302014516,4,1,3,0.839530545263,0.285864809272,-0.0386900235263,29,1.06855442506,4.5348588434,0.385098843395,0.385098843395,-0.423788866922,0.568774440558,WAIT
session_2026-08-09_19-44-38_2e14d32b,27,29,2789,0.737,7.87712,1,1,1.0249290281,0.33963792734,1.78631811914e+12,0.687426511704,1,0.743733575337,0.475188217679,0.821428571429,0.865794833921,7,5,2,0.871866787669,0.186011076422,0.0656033305271,45,1.06855442506,7.9239131273,0.0467931272995,0.0467931272995,0.0188102032276,0.684668444396,WAIT
session_2026-08-09_19-44-38_2e14d32b,28,30,2863,0.766,8.78592,1,1,1.0249290281,0.403024183145,1.78631806898e+12,0.882121614798,1,0.743733575337,0.510836333196,0.75,0.500849971992,7,5,2,0.871866787669,0.167926506842,0.0886533294056,34,1.06855442506,8.82836132312,0.042441323121,0.042441323121,0.0462120062846,0.714963726694,PROVISIONAL
session_2026-08-09_19-44-38_2e14d32b,28,31,2854,0.776,8.61952,1,1,1.0249290281,0.0329713140667,1.78631811832e+12,0.945926623662,1,0,0.678828623027,0.875,0.333437483729,6,3,3,0.5,0.0968466448529,0.0208241305072,33,1.06855442506,8.97285333717,0.353333337168,0.353333337168,-0.33250920666,4.51319070396e-05,WAIT
session_2026-08-09_19-44-38_2e14d32b,31,28,3163,0.717,9.64096,1,1,1.0249290281,1.12229400342,1.78631806209e+12,0.881731178639,0.75,0.933708999472,0.2884700125,0.75,0.50173310745,3,3,0,0.966854499736,0.310791035311,0.54761256472,14,1.06855442506,9.42886970219,-0.212090297807,0.212090297807,0.759702862527,0.621908032076,WAIT
session_2026-08-09_19-44-38_2e14d32b,34,16,3404,0.413,4.35456,1,1,1.0249290281,-0.600895401278,1.7863181242e+12,0.232591351319,0.5,0,0.089710828978,0.375,1.70790645073,2,1,1,0.5,0.602790948203,-0.111342355105,3,1.06855442506,5.05503858643,0.700478586428,0.700478586428,-0.811820941533,1.66247429527e-05,WAIT
session_2026-08-09_19-44-38_2e14d32b,34,19,3466,0.492,5.7344,1,1,1.0249290281,-0.320337997284,1.78631813048e+12,0.213280395231,0.75,0.424413181578,0.108326938539,0.416666666667,1.75792353044,3,2,1,0.712206590789,0.555650353983,0.267968212928,5,1.06855442506,6.58042195574,0.84602195574,0.84602195574,-0.578053742813,0.281731849627,WAIT
session_2026-08-09_19-44-38_2e14d32b,35,19,3509,0.482,5.64608,2,1,1.0249290281,-0.447884480181,1.7863181311e+12,0.144784524382,0.75,0.424413181578,0.127339183577,0.333333333333,1.96596474056,3,2,1,0.712206590789,0.515225253945,0.295234569354,4,1.06855442506,6.64858444325,1.00250444325,1.00250444325,-0.707269873891,0.270410423876,WAIT
session_2026-08-09_20-33-16_2e14d32b,8,15,876,0.394,4.18816,1,1,1.03497009485,-0.0977115267948,1.78631866085e+12,0.999783009657,1,0.560157893953,0.710375708207,1,0.0208333333333,15,6,9,0.780078946977,0.0854903206045,-0.0630413831979,129,1.0249290281,4.18124950057,-0.00691049943209,0.00691049943209,-0.0561308837658,0.768498931817,PROVISIONAL
session_2026-08-09_20-33-16_2e14d32b,8,16,875,0.423,4.55936,3,2,1.03497009485,-0.0304783780747,1.78631865944e+12,0.986198555955,1,0.80479571998,0.691626526525,1,0.166718741865,15,5,10,0.90239785999,0.0921772926524,-0.0218113127329,129,1.0249290281,4.52349739851,-0.035862601487,0.035862601487,0.0140512887541,0.844189316504,PROVISIONAL
session_2026-08-09_20-33-16_2e14d32b,8,17,869,0.433,4.6272,2,1,1.03497009485,-0.0570742377582,1.78631866001e+12,0.999991319482,1,0.932939343137,0.840512882882,1,0.00416666666667,15,4,11,0.966469671568,0.0434357496527,-0.015457506883,129,1.0249290281,4.62337086678,-0.00382913321857,0.00382913321857,-0.0116283736644,0.932883473343,TRUST
session_2026-08-09_20-33-16_2e14d32b,9,18,971,0.462,4.77696,1,1,1.03497009485,-0.339173257705,1.7863186586e+12,0.977674853362,1,0.560157893953,0.46295967412,1,0.2125,15,6,9,0.780078946977,0.192528831405,-0.074624381749,130,1.0249290281,4.99187320458,0.214913204577,0.214913204577,-0.289537586326,0.677842528385,WAIT
session_2026-08-09_20-33-16_2e14d32b,20,36,2047,0.903,10.29632,1,1,1.03497009485,-0.686462779593,1.78631868964e+12,0.901818486284,1,0.517379878496,0.125375974486,0.625,0.454625150842,8,3,5,0.758689939248,0.519109565041,-0.287199646709,36,1.0249290281,10.5890304359,0.292710435873,0.292710435873,-0.579910082582,0.421703004013,WAIT
session_2026-08-09_20-33-16_2e14d32b,22,27,2222,0.698,6.31552,1,1,1.03497009485,0.0780212840211,1.78631864773e+12,0.984975128001,1,0.909937338753,0.465501975938,0.666666666667,0.174005108482,9,2,7,0.954968669376,0.191159734377,-0.0794354352322,77,1.0249290281,6.0975483526,-0.217971647403,0.217971647403,0.138536212171,0.736740069606,PROVISIONAL
session_2026-08-09_20-33-16_2e14d32b,23,34,2374,0.874,9.9584,4,3,1.03497009485,-0.142916397057,1.78631867377e+12,0.934176134425,1,0.743733575337,0.193617305597,0.785714285714,0.369026497091,7,2,5,0.871866787669,0.41046792993,-0.204117662486,41,1.0249290281,9.7991978429,-0.159202157104,0.159202157104,-0.0449155053824,0.549977876252,WAIT
session_2026-08-09_20-33-16_2e14d32b,23,35,2384,0.884,9.7536,1,1,1.03497009485,-0.680745709476,1.78631871713e+12,0.865022293111,1,0.743733575337,0.373912375208,0.785714285714,0.538516480713,7,2,5,0.871866787669,0.245933449976,-0.324734001751,40,1.0249290281,10.0083798342,0.254779834237,0.254779834237,-0.579513835988,0.656505029574,WAIT
session_2026-08-09_20-33-16_2e14d32b,24,30,2485,0.756,6.36672,1,1,1.03497009485,-0.994450601518,1.78631867639e+12,0.950098860506,1,0.517379878496,0.360654812607,0.75,0.319966361079,8,5,3,0.758689939248,0.254958493966,0.115632312409,52,1.0249290281,7.40538635252,1.03866635252,1.03866635252,-0.923034040116,0.589741647961,WAIT
session_2026-08-09_20-33-16_2e14d32b,24,32,2417,0.825,10.0864,1,1,1.03497009485,1.30213858932,1.78631871083e+12,0.945434081823,1,0.291026181654,0.247672294132,0.75,0.334995854037,7,4,3,0.645513090827,0.348912200314,0.0709759251587,45,1.0249290281,8.77001424044,-1.31638575956,1.31638575956,1.38736168472,0.449086720763,WAIT
session_2026-08-09_20-33-16_2e14d32b,24,34,2463,0.864,10.36928,2,1,1.03497009485,0.428925166313,1.78631871825e+12,0.927324807728,1,0.517379878496,0.192162721228,0.71875,0.38846206736,8,3,5,0.758689939248,0.412353189872,-0.147638574819,42,1.0249290281,9.69627698314,-0.673003016863,0.673003016863,0.525364442044,0.487972443968,WAIT
session_2026-08-09_20-33-16_2e14d32b,25,32,2591,0.825,10.2144,1,1,1.03497009485,1.10200944618,1.78631871998e+12,0.986198555955,1,0.291026181654,0.37613332655,0.75,0.166718741865,7,4,3,0.645513090827,0.244452901639,0.0706475232208,37,1.0249290281,9.09463154027,-1.11976845973,1.11976845973,1.19041598296,0.509091911369,WAIT
session_2026-08-09_20-33-16_2e14d32b,25,34,2531,0.864,9.97376,3,1,1.03497009485,-0.114301767385,1.78631871883e+12,0.933786975449,1,0.517379878496,0.10480691869,0.71875,0.370153871909,8,3,5,0.758689939248,0.563908872811,-0.234431631901,36,1.0249290281,9.7557578375,-0.218002162503,0.218002162503,-0.0164294693978,0.41077454254,WAIT
session_2026-08-09_20-33-16_2e14d32b,27,31,2720,0.786,9.14176,1,1,1.03497009485,0.664368993651,1.78631867804e+12,0.843869898939,1,0.582052363308,0.402200670261,0.916666666667,0.582678203547,6,4,2,0.791026181654,0.22770103379,0.0366675881287,33,1.0249290281,8.43181269255,-0.709947307446,0.709947307446,0.746614895575,0.636648204197,WAIT
session_2026-08-09_20-33-16_2e14d32b,28,31,2856,0.796,9.16992,1,1,1.03497009485,-0.0155454578708,1.78631870293e+12,0.945926623662,1,0.582052363308,0.478174259361,0.916666666667,0.333437483729,6,4,2,0.791026181654,0.184445013399,0.044085425361,25,1.0249290281,9.14043538878,-0.0294846112181,0.0294846112181,0.073570036579,0.679911205158,WAIT
session_2026-08-09_20-33-16_2e14d32b,28,32,2828,0.815,9.3568,1,1,1.03497009485,-0.239772188034,1.78631870264e+12,0.804834948459,1,0.582052363308,0.482661012917,0.916666666667,0.658965940782,6,4,2,0.791026181654,0.182110177086,0.0513770432577,25,1.0249290281,9.554845264,0.198045263999,0.198045263999,-0.146668220741,0.666176863787,WAIT
